Coor_ID, LON, LAT,FLAG,Moist,Ash,Avg Yield
1,-75.6952,39.8041,"-75.6952, 39.8041",29.86348482,1.586307716,20.15683675
2,-75.5389,39.7783,"-75.5389, 39.7783",22.71952897,2.15623575,18.78962367
3,-75.7121,39.7449,"-75.7121, 39.7449",28.57245529,2.87898163,19.87377241
4,-75.556,39.7192,"-75.556, 39.7192",26.71414843,3.008684215,0
5,-75.7628,39.5674,"-75.7628, 39.5674",25.29651342,5.43507147,18.18318733
6,-75.6849,39.5546,"-75.6849, 39.5546",26.29207198,0.283554326,18.56844702
7,-75.7018,39.4954,"-75.7018, 39.4954",25.02996098,2.529053771,19.49669176
8,-75.6409,39.4233,"-75.6409, 39.4233",17.44796204,3.893927241,17.74727423
9,-75.5632,39.4104,"-75.5632, 39.4104",18.0330019,0.923674774,16.29387299
10,-75.7355,39.377,"-75.7355, 39.377",36.31205566,0.613091883,0
11,-75.6578,39.3642,"-75.6578, 39.3642",24.33313042,1.40988689,0
12,-75.5802,39.3513,"-75.5802, 39.3513",23.92572454,2.723722699,0
13,-75.7523,39.3178,"-75.7523, 39.3178",18.96143814,0.911538135,18.23341436
14,-95.2618,41.8636,"-95.2618, 41.8636",2.460356433,0.934373273,14.78773236
15,-95.1795,41.8631,"-95.1795, 41.8631",6.671030211,1.387419415,16.14821464
16,-95.0971,41.8626,"-95.0971, 41.8626",5.120731267,1.116554157,15.84881728
17,-95.5092,41.8041,"-95.5092, 41.8041",0.569626668,0.708347924,13.63825524
18,-95.4269,41.8038,"-95.4269, 41.8038",10.87166408,0.776468168,17.1663343
19,-95.3447,41.8034,"-95.3447, 41.8034",10.53354234,2.441569931,16.85482801
20,-95.2624,41.803,"-95.2624, 41.803",0,1.379761014,14.60317921
21,-95.1802,41.8025,"-95.1802, 41.8025",7.801037005,2.326071152,16.55407403
22,-95.0979,41.8019,"-95.0979, 41.8019",14.76488891,3.087514214,16.8034056
23,-95.5096,41.7435,"-95.5096, 41.7435",10.30362906,3.315200301,16.01791988
24,-95.4274,41.7432,"-95.4274, 41.7432",8.30897104,0.671031356,14.82390775
25,-95.3453,41.7428,"-95.3453, 41.7428",6.503045869,2.350649564,16.1276946
26,-95.2631,41.7423,"-95.2631, 41.7423",2.910840667,2.304303988,15.97757088
27,-95.1809,41.7418,"-95.1809, 41.7418",6.641688755,1.480053042,14.45093102
28,-95.0987,41.7413,"-95.0987, 41.7413",12.35567944,2.403460511,17.6993662
29,-95.6703,42.5328,"-95.6703, 42.5328",10.16281855,0.44861636,15.84081006
30,-95.5872,42.5326,"-95.5872, 42.5326",5.590768773,1.846095555,17.20538839
31,-95.504,42.5323,"-95.504, 42.5323",11.71789341,0,16.81349981
32,-95.4209,42.5319,"-95.4209, 42.5319",7.773111671,1.317499622,16.09434309
33,-95.5875,42.4718,"-95.5875, 42.4718",21.00697632,0.696617716,18.79078872
34,-95.5045,42.4716,"-95.5045, 42.4716",9.157696316,1.97492025,16.33975756
35,-95.4214,42.4712,"-95.4214, 42.4712",0,0.686575758,14.84341219
36,-95.3384,42.4708,"-95.3384, 42.4708",5.662053942,1.503528464,15.7105734
37,-95.5879,42.4111,"-95.5879, 42.4111",15.0161701,1.693200173,15.79465346
38,-95.5049,42.4109,"-95.5049, 42.4109",12.27147497,2.628723022,16.21459833
39,-95.4219,42.4105,"-95.4219, 42.4105",14.31290285,1.790638434,18.53825698
40,-95.339,42.4101,"-95.339, 42.4101",5.804017702,0.753705562,15.73495681
41,-95.5053,42.3502,"-95.5053, 42.3502",10.22335764,0,16.53502627
42,-95.4224,42.3498,"-95.4224, 42.3498",9.202672919,1.464368578,15.08538992
43,-95.5886,42.2898,"-95.5886, 42.2898",3.849898527,0,14.72968361
44,-95.5058,42.2895,"-95.5058, 42.2895",4.535042288,2.068526809,14.36376294
45,-95.4229,42.2891,"-95.4229, 42.2891",14.20839406,1.191457412,17.60364508
46,-95.3401,42.2887,"-95.3401, 42.2887",8.250548238,0.640028842,14.73360693
47,-95.589,42.2291,"-95.589, 42.2291",13.29263006,3.350661044,15.32905376
48,-95.5062,42.2288,"-95.5062, 42.2288",17.35035929,0,17.43495362
49,-95.4234,42.2285,"-95.4234, 42.2285",4.30121863,0.301849949,17.1759939
50,-95.3407,42.2281,"-95.3407, 42.2281",17.7324362,2.040404323,19.81393408
51,-95.0105,42.1653,"-95.0105, 42.1653",9.651891814,2.539220785,15.19498328
52,-94.9279,42.1646,"-94.9279, 42.1646",9.847858406,1.187000434,16.19812147
53,-94.8452,42.1639,"-94.8452, 42.1639",0.573627244,0.065452495,15.76141716
54,-94.7625,42.1631,"-94.7625, 42.1631",14.45493351,1.164232825,0
55,-94.6798,42.1623,"-94.6798, 42.1623",0,0,14.59615412
56,-95.0114,42.1046,"-95.0114, 42.1046",5.740712224,1.877341928,14.56471136
57,-94.9288,42.104,"-94.9288, 42.104",14.84000762,1.194798896,17.00520657
58,-94.8462,42.1032,"-94.8462, 42.1032",11.21004755,0.759198,15.37385559
59,-94.7636,42.1025,"-94.7636, 42.1025",9.808764481,0.641843398,17.03285214
60,-94.681,42.1017,"-94.681, 42.1017",6.611711679,1.472545959,15.62981593
61,-95.0123,42.0439,"-95.0123, 42.0439",8.477204808,1.051565304,16.53414009
62,-94.9297,42.0433,"-94.9297, 42.0433",12.51635217,1.634131448,16.57363495
63,-94.8472,42.0426,"-94.8472, 42.0426",13.02420782,1.938288987,16.67040916
64,-94.7646,42.0418,"-94.7646, 42.0418",16.33930749,1.950556933,19.66100419
65,-94.6821,42.041,"-94.6821, 42.041",0,2.082958216,14.59636738
66,-95.0131,41.9833,"-95.0131, 41.9833",12.05193165,3.381839887,17.13729028
67,-94.9306,41.9826,"-94.9306, 41.9826",7.520460898,0.334469431,17.17383662
68,-94.8482,41.9819,"-94.8482, 41.9819",0,1.367302983,15.00234229
69,-94.7657,41.9812,"-94.7657, 41.9812",17.28291243,1.069657086,17.80517806
70,-94.6833,41.9803,"-94.6833, 41.9803",5.999611715,1.947793206,15.5363005
71,-95.014,41.9226,"-95.014, 41.9226",13.17868958,1.650426183,17.45397591
72,-94.9316,41.922,"-94.9316, 41.922",15.04530349,1.472293346,17.27676039
73,-94.8492,41.9213,"-94.8492, 41.9213",10.02035853,3.738518243,17.81625635
74,-94.7668,41.9205,"-94.7668, 41.9205",20.77307368,2.378584467,19.94591784
75,-94.6844,41.9197,"-94.6844, 41.9197",7.517673819,0.578240159,14.96243455
76,-94.5158,42.0999,"-94.5158, 42.0999",11.34691683,2.328712325,18.04472819
77,-94.4332,42.0989,"-94.4332, 42.0989",10.45619095,2.260309456,19.05815492
78,-94.6008,41.9795,"-94.6008, 41.9795",12.28754069,1.425036115,16.90893614
79,-94.5183,41.9786,"-94.5183, 41.9786",5.614492828,3.679862201,0
80,-94.5196,41.9179,"-94.5196, 41.9179",15.43626007,1.208226107,16.74867769
81,-95.8349,43.2012,"-95.8349, 43.2012",5.488265591,1.446843297,15.30924993
82,-95.6671,43.2009,"-95.6671, 43.2009",4.392598373,0,15.19855784
83,-95.4992,43.2003,"-95.4992, 43.2003",5.238780822,1.336137897,15.20330851
84,-95.8351,43.1404,"-95.8351, 43.1404",18.80009718,3.13784656,18.46061102
85,-95.7512,43.1403,"-95.7512, 43.1403",10.10906264,1.91507368,16.0268408
86,-95.6674,43.1401,"-95.6674, 43.1401",9.204127411,3.335049113,16.54853538
87,-95.5835,43.1399,"-95.5835, 43.1399",17.7887917,2.445924364,17.57943416
88,-95.4997,43.1396,"-95.4997, 43.1396",2.471059201,0,14.8184376
89,-95.4158,43.1392,"-95.4158, 43.1392",5.42440395,1.907198934,16.18864275
90,-95.8352,43.0797,"-95.8352, 43.0797",12.91521788,1.195654276,16.54012304
91,-95.6677,43.0793,"-95.6677, 43.0793",8.142716728,1.338497695,16.70604452
92,-95.5839,43.0791,"-95.5839, 43.0791",8.202336747,3.117907708,15.74354074
93,-95.5001,43.0788,"-95.5001, 43.0788",12.71191445,2.719048124,16.70600833
94,-95.8354,43.0189,"-95.8354, 43.0189",10.30233488,0.373874426,16.05780761
95,-95.7517,43.0188,"-95.7517, 43.0188",12.80712614,2.444603778,17.55887921
96,-95.5843,43.0184,"-95.5843, 43.0184",6.367775734,2.292441221,16.12714471
97,-95.5005,43.0181,"-95.5005, 43.0181",17.08184183,0.110022282,17.58626171
98,-95.8355,42.9582,"-95.8355, 42.9582",24.06142627,0.273222239,19.73760431
99,-95.7519,42.958,"-95.7519, 42.958",10.12845816,1.656128715,16.28588145
100,-95.6683,42.9578,"-95.6683, 42.9578",15.30278628,0.710601424,17.82814357
101,-95.5846,42.9576,"-95.5846, 42.9576",1.414931244,2.322239451,14.79116292
102,-95.501,42.9573,"-95.501, 42.9573",10.38013856,1.279215125,16.29488705
103,-95.4174,42.957,"-95.4174, 42.957",13.00837772,1.267017209,19.25390161
104,-94.6659,42.8907,"-94.6659, 42.8907",8.169381644,2.543977897,16.85369187
105,-94.5824,42.8898,"-94.5824, 42.8898",16.30061429,1.860110527,17.1482269
106,-94.834,42.8316,"-94.834, 42.8316",5.278480744,1.456193699,0
107,-94.6671,42.83,"-94.6671, 42.83",2.425716663,3.370014637,16.16580876
108,-94.5836,42.8291,"-94.5836, 42.8291",10.06789688,2.550355729,17.20090365
109,-94.7516,42.7701,"-94.7516, 42.7701",2.813612921,2.127502993,0
110,-94.5848,42.7684,"-94.5848, 42.7684",14.72996346,0.899622845,18.4877537
111,-94.8361,42.7101,"-94.8361, 42.7101",7.334492285,0,15.49589079
112,-94.6694,42.7086,"-94.6694, 42.7086",11.90269887,1.186572744,17.56804659
113,-94.5861,42.7077,"-94.5861, 42.7077",14.09465992,1.967602001,18.35127779
114,-94.8371,42.6494,"-94.8371, 42.6494",7.654444171,1.636284905,17.08233368
115,-94.7538,42.6487,"-94.7538, 42.6487",10.21804039,0.826526642,17.23856943
116,-94.6706,42.6478,"-94.6706, 42.6478",8.691643088,1.069216891,0
117,-94.5873,42.647,"-94.5873, 42.647",18.25161681,1.230828642,18.92290886
118,-94.5041,42.646,"-94.5041, 42.646",1.210883297,2.888595899,16.88426959
119,-94.8381,42.5887,"-94.8381, 42.5887",16.09566522,1.212753117,18.85618206
120,-94.7549,42.588,"-94.7549, 42.588",8.818840721,3.060722319,15.74783372
121,-94.6717,42.5871,"-94.6717, 42.5871",17.46600324,0,18.74388237
122,-94.5886,42.5863,"-94.5886, 42.5863",5.75459344,1.598099201,0
123,-94.5054,42.5853,"-94.5054, 42.5853",3.740598904,3.265828381,16.37694716
124,-95.5893,42.1684,"-95.5893, 42.1684",0,2.337273626,13.35000358
125,-95.5066,42.1681,"-95.5066, 42.1681",10.58990601,1.00128423,15.82207915
126,-95.424,42.1678,"-95.424, 42.1678",15.275141,1.70332717,17.51753413
127,-95.3413,42.1674,"-95.3413, 42.1674",2.766786975,3.383120455,14.16654043
128,-95.2586,42.1669,"-95.2586, 42.1669",8.720844518,1.423689267,14.89195122
129,-95.0932,42.1659,"-95.0932, 42.1659",14.95037118,2.121127662,17.45953606
130,-95.5897,42.1077,"-95.5897, 42.1077",13.52946795,0,17.32894196
131,-95.5071,42.1074,"-95.5071, 42.1074",8.832945135,2.286488579,17.69382098
132,-95.4244,42.1071,"-95.4244, 42.1071",10.64944752,1.210703457,16.92684284
133,-95.3418,42.1067,"-95.3418, 42.1067",12.83537794,2.91661834,17.35133732
134,-95.2592,42.1063,"-95.2592, 42.1063",14.79573242,1.607257017,17.02912919
135,-95.1766,42.1058,"-95.1766, 42.1058",13.61494146,2.106584956,15.67660007
136,-95.094,42.1052,"-95.094, 42.1052",14.09052115,2.768557605,16.67827859
137,-95.59,42.0471,"-95.59, 42.0471",9.986800034,2.2200916,14.73208661
138,-95.5075,42.0468,"-95.5075, 42.0468",0,2.188430043,13.20171147
139,-95.4249,42.0464,"-95.4249, 42.0464",9.331188302,1.31488346,16.68065572
140,-95.3424,42.046,"-95.3424, 42.046",11.78918513,0.143076958,16.09855513
141,-95.2599,42.0456,"-95.2599, 42.0456",17.1930515,2.729817906,15.83768144
142,-95.1773,42.0451,"-95.1773, 42.0451",2.329002131,2.090934257,13.8641325
143,-95.0948,42.0445,"-95.0948, 42.0445",11.30134723,0.90744882,16.87066837
144,-95.5904,41.9864,"-95.5904, 41.9864",8.27686343,0,15.57997013
145,-95.5079,41.9861,"-95.5079, 41.9861",14.1180906,3.989789801,15.14738122
146,-95.4254,41.9858,"-95.4254, 41.9858",4.430227917,0.313285026,14.24215903
147,-95.343,41.9854,"-95.343, 41.9854",8.759353999,0.506038103,15.5039549
148,-95.2605,41.9849,"-95.2605, 41.9849",2.826741173,2.381463245,14.61267542
149,-95.178,41.9844,"-95.178, 41.9844",12.99506382,3.989789801,16.6761436
150,-95.0956,41.9839,"-95.0956, 41.9839",10.59284175,0.786915306,16.62255347
151,-95.5907,41.9257,"-95.5907, 41.9257",12.34643306,3.639614332,16.02874329
152,-95.3435,41.9247,"-95.3435, 41.9247",6.002060573,0,14.20100145
153,-95.2611,41.9243,"-95.2611, 41.9243",14.61912646,2.269363475,17.42422673
154,-95.1788,41.9238,"-95.1788, 41.9238",11.28178092,1.556410692,15.30283158
155,-95.0964,41.9232,"-95.0964, 41.9232",10.71433975,3.132008968,16.07446851
156,-95.5088,41.8648,"-95.5088, 41.8648",14.91219079,0,17.68141796
157,-95.4264,41.8645,"-95.4264, 41.8645",10.18938312,1.871061639,16.56487866
158,-95.0148,41.862,"-95.0148, 41.862",12.65618633,0,15.49731124
159,-94.9325,41.8613,"-94.9325, 41.8613",13.82327914,0.673648768,16.75451432
160,-94.8502,41.8606,"-94.8502, 41.8606",6.958109955,0,15.61668142
161,-94.7679,41.8598,"-94.7679, 41.8598",0,2.375713192,13.73120251
162,-95.0157,41.8013,"-95.0157, 41.8013",8.974692951,0.94594341,16.3312041
163,-94.9334,41.8007,"-94.9334, 41.8007",6.68827325,0,16.20766335
164,-94.8512,41.8,"-94.8512, 41.8",8.04943931,1.199078296,16.01113646
165,-94.7689,41.7992,"-94.7689, 41.7992",6.217531995,1.396423412,15.10756882
166,-95.0165,41.7407,"-95.0165, 41.7407",7.449113718,4.045454515,14.62566329
167,-94.9343,41.74,"-94.9343, 41.74",6.959464855,1.018847028,15.49980761
168,-95.3378,42.5315,"-95.3378, 42.5315",13.05051118,0.73834124,19.2841517
169,-95.0053,42.5294,"-95.0053, 42.5294",10.86582425,1.189058847,16.27305456
170,-94.9222,42.5287,"-94.9222, 42.5287",1.6199715,0.603826519,17.18271531
171,-95.2553,42.4704,"-95.2553, 42.4704",15.17150204,0.668932925,17.4701045
172,-95.1723,42.4699,"-95.1723, 42.4699",13.33278544,0.623275154,17.09946179
173,-95.0892,42.4693,"-95.0892, 42.4693",12.85006234,1.316065235,17.96183865
