index,parcels,yield,county,rent($/acres),rent($/hectare)
1,1,20.15683675,DE003,88.5,218.6880693
2,2,18.78962367,DE003,88.5,218.6880693
3,3,19.87377241,DE003,88.5,218.6880693
4,4,0,DE003,88.5,218.6880693
5,5,18.18318733,DE003,88.5,218.6880693
6,6,18.56844702,DE003,88.5,218.6880693
7,7,19.49669176,DE003,88.5,218.6880693
8,8,17.74727423,DE003,88.5,218.6880693
9,9,16.29387299,DE003,88.5,218.6880693
10,10,0,DE003,88.5,218.6880693
11,11,0,DE003,88.5,218.6880693
12,12,0,DE003,88.5,218.6880693
13,13,18.23341436,DE003,88.5,218.6880693
14,14,14.78773236,IA165,223,551.0445135
15,15,16.14821464,IA165,223,551.0445135
16,16,15.84881728,IA165,223,551.0445135
17,17,13.63825524,IA165,223,551.0445135
18,18,17.1663343,IA165,223,551.0445135
19,19,16.85482801,IA165,223,551.0445135
20,20,14.60317921,IA165,223,551.0445135
21,21,16.55407403,IA165,223,551.0445135
22,22,16.8034056,IA165,223,551.0445135
23,23,16.01791988,IA165,223,551.0445135
24,24,14.82390775,IA165,223,551.0445135
25,25,16.1276946,IA165,223,551.0445135
26,26,15.97757088,IA165,223,551.0445135
27,27,14.45093102,IA165,223,551.0445135
28,28,17.6993662,IA165,223,551.0445135
29,29,15.84081006,IA093,254,627.6471141
30,30,17.20538839,IA093,254,627.6471141
31,31,16.81349981,IA093,254,627.6471141
32,32,16.09434309,IA093,254,627.6471141
33,33,18.79078872,IA093,254,627.6471141
34,34,16.33975756,IA093,254,627.6471141
35,35,14.84341219,IA093,254,627.6471141
36,36,15.7105734,IA093,254,627.6471141
37,37,15.79465346,IA093,254,627.6471141
38,38,16.21459833,IA093,254,627.6471141
39,39,18.53825698,IA093,254,627.6471141
40,40,15.73495681,IA093,254,627.6471141
41,41,16.53502627,IA093,254,627.6471141
42,42,15.08538992,IA093,254,627.6471141
43,43,14.72968361,IA093,254,627.6471141
44,44,14.36376294,IA093,254,627.6471141
45,45,17.60364508,IA093,254,627.6471141
46,46,14.73360693,IA093,254,627.6471141
47,47,15.32905376,IA093,254,627.6471141
48,48,17.43495362,IA093,254,627.6471141
49,49,17.1759939,IA093,254,627.6471141
50,50,19.81393408,IA093,254,627.6471141
51,51,15.19498328,IA027,248,612.8208043
52,52,16.19812147,IA027,248,612.8208043
53,53,15.76141716,IA027,248,612.8208043
54,54,0,IA027,248,612.8208043
55,55,14.59615412,IA027,248,612.8208043
56,56,14.56471136,IA027,248,612.8208043
57,57,17.00520657,IA027,248,612.8208043
58,58,15.37385559,IA027,248,612.8208043
59,59,17.03285214,IA027,248,612.8208043
60,60,15.62981593,IA027,248,612.8208043
61,61,16.53414009,IA027,248,612.8208043
62,62,16.57363495,IA027,248,612.8208043
63,63,16.67040916,IA027,248,612.8208043
64,64,19.66100419,IA027,248,612.8208043
65,65,14.59636738,IA027,248,612.8208043
66,66,17.13729028,IA027,248,612.8208043
67,67,17.17383662,IA027,248,612.8208043
68,68,15.00234229,IA027,248,612.8208043
69,69,17.80517806,IA027,248,612.8208043
70,70,15.5363005,IA027,248,612.8208043
71,71,17.45397591,IA027,248,612.8208043
72,72,17.27676039,IA027,248,612.8208043
73,73,17.81625635,IA027,248,612.8208043
74,74,19.94591784,IA027,248,612.8208043
75,75,14.96243455,IA027,248,612.8208043
76,76,18.04472819,IA073,227,560.92872
77,77,19.05815492,IA073,227,560.92872
78,78,16.90893614,IA073,227,560.92872
79,79,0,IA073,227,560.92872
80,80,16.74867769,IA073,227,560.92872
81,81,15.30924993,IA141,249,615.2918559
82,82,15.19855784,IA141,249,615.2918559
83,83,15.20330851,IA141,249,615.2918559
84,84,18.46061102,IA141,249,615.2918559
85,85,16.0268408,IA141,249,615.2918559
86,86,16.54853538,IA141,249,615.2918559
87,87,17.57943416,IA141,249,615.2918559
88,88,14.8184376,IA141,249,615.2918559
89,89,16.18864275,IA141,249,615.2918559
90,90,16.54012304,IA141,249,615.2918559
91,91,16.70604452,IA141,249,615.2918559
92,92,15.74354074,IA141,249,615.2918559
93,93,16.70600833,IA141,249,615.2918559
94,94,16.05780761,IA141,249,615.2918559
